% 1. Title: Citation Classification
 % 
 % 2. Sources:
 %  (a) Creator: Lucas Lopes Resende
 %  (b) Donor: USPTO
 %  (c) Date: April 2020
 % 
 @RELATION Patent

@ATTRIBUTE class {"Communication & Textual Studies","Psychology & Cognitive Sciences","General Science & Technology","Social Sciences","Physics & Astronomy","Built Environment & Design","Enabling & Strategic Technologies","Visual & Performing Arts","Biology","Information & Communication Technologies","Agriculture Fisheries & Forestry","Public Health & Health Services","Earth & Environmental Sciences","Mathematics & Statistics","Engineering","Clinical Medicine","Chemistry","Historical Studies","Field English","Economics & Business ","General Arts Humanities & Social Sciences","Biomedical Research","Philosophy & Theology"}
@ATTRIBUTE citation String

@DATA
"Public Health & Health Services","voice hoarseness dysphonia poor vocal volume hypophonia abnormal eg rough breathy strained vocal quality Research demonstrates voice therapy to be especially helpful with certain patient populations individuals with Parkinson's Disease often develop voice issues as a result of their disease"
"Public Health & Health Services","Nursing is a profession within the health care sector focused on the care of individuals families and communities so they may attain maintain or recover optimal health and quality of life Nurses may be differentiated from other health care providers by their approach to patient care training and scope of practice Nurses practice in many specialties with differing levels of prescription authority Many nurses provide care within the ordering scope of physicians and this traditional role has shaped the public image of nurses as care providers However nurse practitioners are permitted by most jurisdictions to practice independently in a variety of settings Since the postwar period nurse education has undergone a process of diversification towards advanced and specialized credentials and many of the traditional regulations and provider roles are changing"
"Public Health & Health Services","Henderson John “Public Health Pollution and the Problem of Waste Disposal in Early Modern Tuscany” In Le interazioni fra economia e ambiente biologico nell’Europa preindustriale Secc XIII XVIII Edited by Simonetta Cavaciocchi Florence Firenze University Press"
"Public Health & Health Services","Primary pediatric speech and language disorders include receptive and expressive language disorders speech sound disorders childhood apraxia of speech CAS stuttering and language based learning disabilities Speech pathologists work with people of all ages"
"Public Health & Health Services","Contact tracing Finding and identifying people in close contact with someone who is infected with a virus"
"Public Health & Health Services","Philip A Kalisch and Beatrice J Kalisch American Nursing A History th ed"
"Public Health & Health Services","Brandt AM Gardner M Antagonism and accommodation interpreting the relationship between public health and medicine in the United States during the th centuryAmerican Journal of Public Health doi AJPH PMC PMID"
"Public Health & Health Services","United States Department of Labor Bureau of Labor Statistics"
"Public Health & Health Services","The Nursing education is governed in India by the central body Indian Nursing Council and its norms are implemented through respective State Nursing council such as Kerala Nurses and Midwives Council"
"Public Health & Health Services","Pencheon David Guest Charles Melzer David Gray JA Muir Pencheon David ed Oxford Handbook of Public Health Practice Oxford University Press OCLC"
"Public Health & Health Services","The third method is to obtain a Bachelor of Science in Nursing BSN a four year degree that also prepares nurses for graduate level education For the first two years in a BSN program students usually obtain general education requirements and spend the remaining time in nursing courses In some new programs the first two years can be substituted for an active LPN license along with the required general studies Advocates for the ADN and diploma programs state that such programs have an on the job training approach to educating students while the BSN is an academic degree that emphasizes research and nursing theory Some states require a specific amount of clinical experience that is the same for both BSN and ADN students A BSN degree qualifies its holder for administrative research consulting and teaching positions that would not usually be available to those with an ADN but is not necessary for most patient care functions Nursing schools may be accredited by either the Accreditation Commission for Education in Nursing ACEN or the Commission on Collegiate Nursing Education CCNE"
"Public Health & Health Services","Richard GJ July The role of the speech language pathologist in identifying and treating children with auditory processing disorderLanguage Speech and Hearing Services in Schools doi  PMID"
"Public Health & Health Services","William F MayThe Ethical Foundations of Health Care ReformThe Christian Century June pp –"
"Public Health & Health Services"," Audiology School of Health & Rehabilitation Scienceswwwshrsuqeduau Archived from the original on Retrieved "
"Public Health & Health Services","Completion of any one of these three educational routes allows a graduate nurse to take the NCLEX RN the test for licensure as a registered nurse and is accepted by every state as an adequate indicator of minimum competency for a new graduate However controversy exists over the appropriate entry level preparation of RNs Some professional organizations believe the BSN should be the sole method of RN preparation and ADN graduates should be licensed astechnical nursesto work under the supervision of BSN graduates Others feel the on the job experiences of diploma and ADN graduates makes up for any deficiency in theoretical preparation"
"Public Health & Health Services","Free radicals are reactive molecules produced by cellular and environmental processes and can damage the elements of the cell such as the cell membrane and DNA and cause irreversible damage The free radical theory of aging proposes that this damage cumulatively degrades the biological function of cells and impacts the process of aging The idea that free radicals are toxic agents was first proposed by Rebeca Gerschman and colleagues in but came to prominence in when Denham Harman proposed the free radical theory of aging and even demonstrated that free radical reactions contribute to the degradation of biological systems Oxidative damage of many types accumulate with age such as oxidative stress that oxygen free radicals because the free radical theory of aging argues that aging results from the damage generated by reactive oxygen species ROS ROS are small highly reactive oxygen containing molecules that can damage a complex of cellular components such as fat proteins or from DNA they are naturally generated in small amounts during the body's metabolic reactions These conditions become more common as humans grow older and include diseases related to aging such as dementia cancer and heart disease"
"Public Health & Health Services","Nursing is the most diverse of all health care professions Nurses practice in a wide range of settings but generally nursing is divided depending on the needs of the person being nursed"
"Public Health & Health Services","In the past audiologists have typically held a master's degree and the appropriate healthcare license However in the s the profession began to transition to a doctoral level as a minimal requirement In the United States starting in audiologists were required to receive a doctoral degree AuD or PhD in audiology from an accredited university graduate or professional program before practicing All states require licensing and audiologists may also carry national board certification from the American Board of Audiology or a certificate of clinical competence in audiology CCC A from the American Speech Language Hearing Association"
"Public Health & Health Services","It is a cornerstone of public health and shapes policy decisions and evidence based practice by identifying risk factors for disease and targets for preventive healthcare Epidemiologists help with study design collection and statistical analysis of data amend interpretation and dissemination of results including peer review and occasional systematic review Epidemiology has helped develop methodology used in clinical research public health studies and to a lesser extent basic research in the biological sciences"
"Public Health & Health Services","William F MayThe Ethical Foundations of Health Care ReformThe Christian Century June pp –"
"Public Health & Health Services","Advanced education in nursing is done at the master's and doctoral levels It prepares the graduate for specialization as an advanced practice registered nurse APRN or for advanced roles in leadership management or education The clinical nurse leader CNL is an advanced generalist who focuses on the improvement of quality and safety outcomes for patients or patient populations from an administrative and staff management focus Doctoral programs in nursing prepare the student for work in nursing education health care administration clinical research public policy or advanced clinical practice Most programs confer the PhD in nursing or Doctor of Nursing Practice DNP"
"Public Health & Health Services","Three former directors of the Global Smallpox Eradication Programme read the news that smallpox had been globally eradicated"
"Public Health & Health Services","Geographic distribution of older adults in the United States"
"Public Health & Health Services","Hage J Techniques and problems of theory construction in sociology New York Wiley Interscience ISBN "
"Public Health & Health Services"," Top News in India India News Bollywood News Sports News Business News & Current Affairs National & International News"
"Public Health & Health Services","a b Ioannidis J P A Tarone R McLaughlin J K The False positive to False negative Ratio in Epidemiologic StudiesEpidemiology doi EDEbebe PMID"
"Public Health & Health Services","Dr John Snow John Snow Inc and JSI Research & Training Institute Inc"
"Public Health & Health Services","Public health issues were important for the Spanish empire during the colonial era Epidemic disease was the main factor in the decline of indigenous populations in the era immediately following the sixteenth century conquest era and was a problem during the colonial era The Spanish crown took steps in eighteenth century Mexico to bring in regulations to make populations healthier"
"Public Health & Health Services","Syntax constructing sentences according to the grammatical rules of a target language "
"Public Health & Health Services","The third method is to obtain a Bachelor of Science in Nursing BSN a four year degree that also prepares nurses for graduate level education For the first two years in a BSN program students usually obtain general education requirements and spend the remaining time in nursing courses In some new programs the first two years can be substituted for an active LPN license along with the required general studies Advocates for the ADN and diploma programs state that such programs have an on the job training approach to educating students while the BSN is an academic degree that emphasizes research and nursing theory Some states require a specific amount of clinical experience that is the same for both BSN and ADN students A BSN degree qualifies its holder for administrative research consulting and teaching positions that would not usually be available to those with an ADN but is not necessary for most patient care functions Nursing schools may be accredited by either the Accreditation Commission for Education in Nursing ACEN or the Commission on Collegiate Nursing Education CCNE"
"Public Health & Health Services"," Distribution of Physicians by Genderkfforg Retrieved January"
"Public Health & Health Services","Richel Theo December Will human life expectancy quadruple in the next hundred years  Sixty gerontologists say public debate on life extension is necessaryJ Anti Aging Med doi PMID"
"Public Health & Health Services","According to this theory older adults born during different time periods form cohorts that defineage strataThere are two differences among strata chronological age and historical experience This theory makes two arguments Age is a mechanism for regulating behavior and as a result determines access to positions of power Birth cohorts play an influential role in the process of social change"
"Public Health & Health Services","Field AE Camargo CA Ogino S The merits of subtyping obesity one size does not fit allJAMA doi jama PMID"
"Public Health & Health Services","A mistake in coding that affects all responses for that particular question is another example of a systematic error"
"Public Health & Health Services","Joseph P Byre Encyclopedia of the Black Death ABC CLIO p ISBN Retrieved February"
"Public Health & Health Services","Supporting decision making in health care and planning health services including any necessary changes"
"Public Health & Health Services"," Schools of Public Health and Public Health ProgramsPDF Council on Education for Public Health March Retrieved March"
"Public Health & Health Services","Turnock Bernard Public Health What It Is and How It Works th ed Sudbury MA Jones and Bartlett Publishers ISBN "
"Public Health & Health Services","Headache Auditory processing disorder Otalgia Velopharyngeal inadequacy Velopharyngeal insufficiency Hypersensitive gag reflex Jaw claudication Hypomimia"
"Public Health & Health Services","If the OR is significantly greater than then the conclusion isthose with the disease are more likely to have been exposed"
"Public Health & Health Services","Nutton Vivian “Continuity or Rediscovery  The City Physician in Classical Antiquity and Mediaeval Italy” In The Town and State Physician in Europe Edited by Andrew W Russell Wolfenbüttel Herzog August Bibliothek"
"Public Health & Health Services","American Speech Language Hearing Association ASHA Communication for a Lifetime"
"Public Health & Health Services","American Speech Language Hearing Association Scope of practice in speech language pathology Service Delivery Areaswwwashaorg policy doi policySP Retrieved September "
"Public Health & Health Services","Blue Zone Longevity insurance Longevity risk Transhumanist politics"
"Public Health & Health Services","Voice difficulties such as a raspy voice a voice that is too soft or other voice difficulties that negatively impact a person's social or professional performance"
"Public Health & Health Services","Hardey Michael July Public health and Web Perspectives in Public Health doi PMID"
"Public Health & Health Services","Edward Marriott inPlague A Story of Science Rivalry and the Scourge That Won't Go AwayISBN "
"Public Health & Health Services","de Bary WT ed The Buddhist tradition in India China & Japan Unabridged ed New York Vintage eBooks pp ISBN"
"Public Health & Health Services","Advanced Practice and Leadership in Radiology Nursing Springer Publishing ISBN "
"Public Health & Health Services","Orofacial pain Toothache Galvanic pain Barodontalgia Fremitus Tooth mobility Bruxism Trismus Ageusia Hypogeusia Dysgeusia Parageusia Hypergeusia Xerostomia Halitosis Drooling Hypersalivation"
"Public Health & Health Services","In the late th century with the advancement of biomedical sciences a number of molecular markers in blood other biospecimens and environment were identified as predictors of development or risk of a certain disease Epidemiology research to examine the relationship between these biomarkers analyzed at the molecular level and disease was broadly namedmolecular epidemiologySpecifically,genetic epidemiologyhas been used for epidemiology of germline genetic variation and disease Genetic variation is typically determined using DNA from peripheral blood leukocytes Since the s genome wide association studies GWAS have been commonly performed to identify genetic risk factors for many diseases and health conditions"
"Public Health & Health Services","Although epidemiology is sometimes viewed as a collection of statistical tools used to elucidate the associations of exposures to health outcomes a deeper understanding of this science is that of discovering causal relationships"
"Public Health & Health Services","Observational studies have two components descriptive and analytical Descriptive observations pertain to thewho what where and when of health related state occurrenceHowever analytical observations deal more with the ‘how’ of a health related event Experimental epidemiology contains three case types randomized controlled trials often used for new medicine or drug testing field trials conducted on those at a high risk of contracting a disease and community trials research on social originating diseases"
"Public Health & Health Services","Food Additive Chemistry Engineering Microbiology Processing Safety Safety scandals Genetically modified food Good agricultural practice Good manufacturing practice HACCP ISO"
"Public Health & Health Services","In the United States public health worker Sara Josephine Baker MD established many programs to help the poor in New York City keep their infants healthy leading teams of nurses into the crowded neighborhoods of Hell's Kitchen and teaching mothers how to dress feed and bathe their babies"
"Public Health & Health Services","Kapp Marshall B Therapeutic Jurisprudence and End of Life Medical Care Physician Perceptions of a Statute's Impact Medical Law Medicine and Law Medicine and Law PMID Retrieved "
"Public Health & Health Services","First level nurses make up the bulk of the registered nurses in the UK They were previously known by titles such as Registered General Nurse RGN Registered Sick Children's Nurse RSCN Registered Mental Nurse RMN and Registered Nurse for the Mentally Handicapped RNMH The titles used now are similar including Registered Nurse Adult RNA Registered Nurse Child RNC Registered Nurse Mental Health RNMH and Registered Nurse of Learning Disabilities RNLD Second level nurse training is no longer provided however they are still legally able to practice in the United Kingdom as a registered nurse Many have now either retired or undertaken conversion courses to become first level nurses They are entitled to refer to themselves as registered nurses as their registration is on the Nursing & Midwifery Council register of nurses although most refer to themselves as Enrolled Nurses ENs or State Enrolled Nurses SENs"
"Public Health & Health Services","Promoting global security linked to fears of global pandemics the intentional spread of pathogens and a potential increase in humanitarian conflicts natural disasters and emergencies "
"Public Health & Health Services","autoimmune Multiple sclerosis Neuromyelitis optica Schilder's disease hereditary Adrenoleukodystrophy Alexander Canavan Krabbe ML PMD VWM MFC CAMFAK syndrome Central pontine myelinolysis Marchiafava–Bignami disease Alpers' disease"
"Public Health & Health Services","In the United States the Association of Schools of Public Health represents Council on Education for Public Health CEPH accredited schools of public health Delta Omega is the honor society for graduate studies in public health The society was founded in at the Johns Hopkins School of Hygiene and Public Health Currently there are approximately chapters throughout the United States and Puerto Rico"
"Public Health & Health Services","Geltner G January In the Camp and on the March Military Manuals as Sources for Studying Premodern Public HealthMedical History doi mdh ISSN PMID"
"Public Health & Health Services","All clinicians are required to complete clinical hours observation hours often completed during the undergraduate degree and hours of graduate Clinical Practicum They must pass multiple comprehensive exams also called Knowledge and Skills Acquisition KASA exams"
"Public Health & Health Services","Most of the Public health activity in the United States took place at the municipal level before the mid th century There was some activity at the national and state level as well"
"Public Health & Health Services","General imbalance theories of aging suggest that body systems such as the endocrine nervous and immune systems gradually decline and ultimately fail to function The rate of failure varies system by system"
"Public Health & Health Services","Intracranial hypertension Hydrocephalus NPH Choroid plexus papilloma Idiopathic intracranial hypertension Cerebral edema Intracranial hypotension"
"Public Health & Health Services"," Post Registration Education and Practice Prep requirements for midwives | Nursing and Midwifery CouncilNmc ukorg Archived from the original on November Retrieved August"
"Public Health & Health Services","Audiology Resources Resources for audiology professionals and students including a specialist discussion forum"
"Public Health & Health Services","Services football an Indian club representing the Armed Services"
"Public Health & Health Services","Symptoms and signs Speech and voice Symptoms involving head and neck R–R"
"Public Health & Health Services"," Post Registration Education and Practice Prep requirements for midwives | Nursing and Midwifery CouncilNmc ukorg Archived from the original on November Retrieved August"
"Public Health & Health Services","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Public Health & Health Services","Lincoln C Chen David Evans Tim Evans Ritu Sadana Barbara Stilwell Phylida Travis Wim Van Lerberghe Pascal Zurn World Health Report working together for health Geneva WHO OCLC"
"Public Health & Health Services","D'Ann Campbell Women at War with America Private Lives in a Patriotic Era ch"
"Public Health & Health Services","Amanda J Thomas The Lambeth cholera outbreak of the setting causes course and aftermath of an epidemic in London McFarland pp ISBN "
"Public Health & Health Services","Coherence Coherence between epidemiological and laboratory findings increases the likelihood of an effect However Hill noted that lack of such laboratory evidence cannot nullify the epidemiological effect on associations"
"Public Health & Health Services","Table service food served by waiters and waitresses also known as servers"
"Public Health & Health Services","Draper Elaine LaDou Joseph Tennenhouse Dan J Occupational Health Nursing and the Quest for Professional AuthorityNew Solutions doi nsi PMID"
"Public Health & Health Services","Berger KW Genealogy of the wordsaudiologyandaudiologistJournal of the American Audiology Society PMID"
"Public Health & Health Services","caricature of Edward Jenner vaccinating patients who feared it would make them sprout cowlike appendages"
"Public Health & Health Services","Service economics the non material equivalent of a good in economics and marketing within a service–product continuum"
"Public Health & Health Services","Professional degrees are oriented towards practice in public health settings The Master of Public Health Doctor of Public Health Doctor of Health Science DHSc DHS and the Master of Health Care Administration are examples of degrees which are geared towards people who want careers as practitioners of public health in health departments managed care and community based organizations hospitals and consulting firms among others Master of Public Health degrees broadly fall into two categories those that put more emphasis on an understanding of epidemiology and statistics as the scientific basis of public health practice and those that include a more eclectic range of methodologies A Master of Science of Public Health is similar to an MPH but is considered an academic degree as opposed to a professional degree and places more emphasis on scientific methods and research The same distinction can be made between the DrPH and the DHSc The DrPH is considered a professional degree and the DHSc is an academic degreecitation needed"
"Public Health & Health Services","Judd Deborah A History of American Nursing Trends and Eras pp excerpt and text search"
"Public Health & Health Services","If an internal link led you here you may wish to change the link to point directly to the intended article"
"Public Health & Health Services","A common misconception is that speech language pathology is restricted to the treatment of articulation disorders eg helping English speaking individuals enunciate the traditionally difficultrand or the treatment of individuals who stutter but in fact speech language pathology is concerned with a broad scope of speech language swallowing and voice issues involved in communication some of which include"
"Public Health & Health Services","Lithgow Gordon J September Origins of GerosciencePublic Policy & Aging Report doi ppar "
"Public Health & Health Services","Nursing is the protection promotion and optimization of health and abilities prevention of illness and injury alleviation of suffering through the diagnosis and treatment of human responses and advocacy in health care for individuals families communities and populations"
"Public Health & Health Services"," Ibn al Jazzār Abū Ja'far Ahmad ibn Ibrāhīm ibn Abī Khālid d Islamic Medical Manuscripts US National Library of Medicine Retrieved September"
"Public Health & Health Services","Internal validity is dependent on the amount of error in measurements including exposure disease and the associations between these variables Good internal validity implies a lack of error in measurement and suggests that inferences may be drawn at least as they pertain to the subjects under study"
"Public Health & Health Services","Tausch Arno Globalization the Human Condition and Sustainable Development in the Twenty first Century Cross national Perspectives and European Implications With Almas Heshmati and a Foreword by Ulrich Brand st ed Anthem Press London ISBN"
"Public Health & Health Services","Ogino S Chan AT Fuchs CS Giovannucci E Molecular pathological epidemiology of colorectal neoplasia an emerging transdisciplinary and interdisciplinary fieldGut doi gut PMC PMID"
"Public Health & Health Services","Szilard Leo January On the nature of the aging processProc Natl Acad Sci USA Bibcode PNASS doi pnas PMC PMID"
"Public Health & Health Services","Newspaper headlines from around the world about polio vaccine tests April"
"Public Health & Health Services","Occupational rehabilitation therapy to return injured workers to an appropriate level of work activity"
"Public Health & Health Services","K Hardee L Ashford E Rottach R Jolivet and R Kiesel The Policy Dimensions of Scaling Up Health Initiatives Washington DC Futures Group Health Policy Project"
"Public Health & Health Services","Another pioneer Thomas Sydenham was the first to distinguish the fevers of Londoners in the later s His theories on cures of fevers met with much resistance from traditional physicians at the time He was not able to find the initial cause of the smallpox fever he researched and treated"
"Public Health & Health Services","The existence of sound medical research does not necessarily lead to evidence based policymaking For example in South Africa whose population sets the record for HIV infections previous government policy limiting funding and access for AIDS treatments met with strong controversy given its basis on a refusal to accept scientific evidence on the means of transmission A change of government eventually led to a change in policy with new policies implemented for widespread access to HIV services Another issue relates to intellectual property as illustrated by the case of Brazil where debates have arisen over government policy authorizing the domestic manufacture of antiretroviral drugs used in the treatment of HIV AIDS in violation of drug patents"
"Public Health & Health Services","Public health plays an important role in disease prevention efforts in both the developing world and in developed countries through local health systems and non governmental organizations The World Health Organization WHO is the international agency that coordinates and acts on global public health issues Most countries have their own governmental public health agency often called the ministry of health with responsibility for domestic health issues"
"Public Health & Health Services","After all the above requirements have been met during the SLP's path to earning the graduate degree SLPs must state licensure and national certification by"
"Public Health & Health Services","Wilkinson R Intervening with Conversation Analysis in Speech and Language Therapy Improving Aphasic ConversationResearch on Language and Social Interaction doi "
"Public Health & Health Services","Concepts and practice of humanitarian medicine Par S William Gunn M Masellis ISBN "
"Public Health & Health Services","SLPs work in a variety of clinical and educational settings SLPs work in public and private hospitals private practices skilled nursing facilities SNFs long term acute care LTAC facilities hospice and home healthcare SLPs may also work as part of the support structure in the education system working in both public and private schools colleges and universities Some SLPs also work in community health providing services at prisons and young offenders' institutions or providing expert testimony in applicable court cases"
"Public Health & Health Services","Syntax constructing sentences according to the grammatical rules of a target language "
"Public Health & Health Services","During the Crimean War the Grand Duchess Elena Pavlovna issued the call for women to join the Order of Exaltation of the Cross Krestodvizhenskaya obshchina for the year of service in the military hospitals The first section of twenty eightsisters headed by Aleksandra Petrovna Stakhovich the Directress of the Order went off to the Crimea early in November"
"Public Health & Health Services","Pani Alberto J La higiene en México in Spanish Mexico Imprenta de J Ballescá"
"Public Health & Health Services","Main articles History of nursing and Timeline of nursing history"
"Public Health & Health Services","swallowing or other upper aerodigestive functions such as infant feeding and aeromechanical events evaluation of esophageal function is for the purpose of referral to medical professionals "
"Public Health & Health Services","Ray M Merrill Introduction to Epidemiology Jones & Bartlett Learning p ISBN "
"Public Health & Health Services","Public Health is a movement within public health that aims to make the field more accessible to the general public and more user driven The term is used in three senses In the first sense,Public Health is similar toHealth and describes the ways in which traditional public health practitioners and institutions are reaching out or could reach out to the public through social media and health blogs"
"Public Health & Health Services","The unique function of the nurse is to assist the individual sick or well in the performance of those activities contributing to health or its recovery or to peaceful death that he would perform unaided if he had the necessary strength will or knowledge"
"Public Health & Health Services","Twumasi Patrick April Colonialism and international health A study in social change in GhanaSocial Science & Medicine Part B Medical Anthropology doi  ISSN PMID"
"Public Health & Health Services","D Parvaz April Crowdsourcing Japan's radiation levelsAl Jazeera Retrieved June"
"Public Health & Health Services"," Nursing in Japan Working conditions in Japannurseorjp Retrieved February"
"Public Health & Health Services"," Ibn al Jazzār Abū Ja'far Ahmad ibn Ibrāhīm ibn Abī Khālid d Islamic Medical Manuscripts US National Library of Medicine Retrieved September"
"Public Health & Health Services","Nursing is the most diverse of all health care professions Nurses practice in a wide range of settings but generally nursing is divided depending on the needs of the person being nursed"
"Public Health & Health Services","shaping a research agenda and stimulating the generation translation and dissemination of valuable knowledge "
"Public Health & Health Services","The World Health Organization WHO identifies core functions of public health programs including"
"Public Health & Health Services","Gerontology is the study of the social cultural psychological cognitive and biological aspects of ageing The word was coined by Ilya Ilyich Mechnikov in from the Greek γέρων geron,old manand λογία logia,study ofThe field is distinguished from geriatrics which is the branch of medicine that specializes in the treatment of existing disease in older adults Gerontologists include researchers and practitioners in the fields of biology nursing medicine criminology dentistry social work physical and occupational therapy psychology psychiatry sociology economics political science architecture geography pharmacy public health housing and anthropology"
"Public Health & Health Services","Economic Impacts of Disease Simulations Measurement of the future potential impact of disease upon private sector disposable income impacts wages corporate profits private health care costs and public sector disposable income impacts personal income tax corporate income tax consumption taxes publicly funded health care costs"
"Public Health & Health Services","Strengthen and leverage key multilaterals and other partners"
"Public Health & Health Services","Three former directors of the Global Smallpox Eradication Programme read the news that smallpox had been globally eradicated"
"Public Health & Health Services","Modern day nursing was established with through the nurses sent to Israel by the Haddassah organization as well as a nursing school founded by Henrietta Szold in During those times the United Kingdom regulated midwifery in Israel but the nurses were not mentioned in the regulation decree"
"Public Health & Health Services","Webster N Webster's new American dictionary New York HarperCollins"
"Public Health & Health Services","Credentials of a clinical fellow typically read as MA MS or MEd CF SLP eg Jane Doe MA CF SLP"
"Public Health & Health Services","John Snow's dot map showing the clusters of cholera cases in the London epidemic of"
"Public Health & Health Services","Like the United States Japan is in need of more nurses The driving force behind this need is the fact that country is aging and needs more medical care for its people However the number of available nurses does not seem to be increasing Nurses face poor working conditions and low social status and there is a cultural idea that married women quit their jobs for family responsibilities On average Japanese nurses make around yen a month and it is one of the higher paying jobs However physicians make twice as much as nurses Similar to other cultures the Japanese people view nurses as subservient to physicians According to the American Nurses Association article on Japan,nursing work has been described using negative terminology such as 'hard dirty dangerous low salary few holidays minimal chance of marriage and family and poor image'"
"Public Health & Health Services","Smith Sarah Sinclair Don Raine Rosalind Reeves Barnarby Health Care Evaluation Understanding Public Health Open University Press OCLC"
"Public Health & Health Services","Informing educating and empowering people about health issues"
"Public Health & Health Services","This type of nursing is designed to help the public and is also driven by the public's needs The goals of public health nurses are to monitor the spread of disease keep vigilant watch for environmental hazards educate the community on how to care for and treat themselves and train for community disasters"
"Public Health & Health Services","The authority for the practice of nursing is based upon a social contract that delineates professional rights and responsibilities as well as mechanisms for public accountability In almost all countries nursing practice is defined and governed by law and entrance to the profession is regulated at the national or state level"
"Public Health & Health Services"," About the National Institute on AgingNational Institute on Aging US National Institutes of Health Retrieved March"
"Public Health & Health Services","Wilkinson R Intervening with Conversation Analysis in Speech and Language Therapy Improving Aphasic ConversationResearch on Language and Social Interaction doi "
"Public Health & Health Services","Schell Patience ANationalizing children through schools and hypgiene Porfirian and Revolutionary Mexico CityThe Americas April pp –"
"Public Health & Health Services","K Hardee L Ashford E Rottach R Jolivet and R Kiesel The Policy Dimensions of Scaling Up Health Initiatives Washington DC Futures Group Health Policy Project"
"Public Health & Health Services","Auxology Biological hazard Chief Medical Officer Cultural competence Deviance Environmental health Euthenics Genomics Globalization and disease Health economics Health literacy Health policy Health system Health care reform Public health law Maternal health Medical anthropology Medical sociology Mental health Pharmaceutical policy Public health intervention Public health laboratory Reproductive health Social psychology Sociology of health and illness"
"Public Health & Health Services","Bevilacqua Maria Cecilia Novaes Beatriz Caiuby Morata Thais C Audiology in BrazilInternational Journal of Audiology doi ISSN PMID"
"Public Health & Health Services","There are also opportunities for many nurses to gain additional clinical skills after qualification Cannulation venipuncture intravenous drug therapy and male catheterization are the most common although there are many others such as advanced life support which some nurses undertake"
"Public Health & Health Services","Penetrant mechanical electrical or structural as defined by a building code"
"Public Health & Health Services","David E Kelley,A Life of One's Own Individual Rights and the Welfare StateCato Institute October ISBN "
"Public Health & Health Services","Before the foundation of modern nursing members of religious orders such as nuns and monks often provided nursing like care Examples exist in Christian Islamic and Buddhist traditions amongst others Phoebe mentioned in Romans has been described in many sources asthe first visiting nurseThese traditions were influential in the development of the ethos of modern nursing The religious roots of modern nursing remain in evidence today in many countries One example in the United Kingdom is the use of the historical titlesisterto refer to a senior nurse in the past"
"Public Health & Health Services"," American Nurses AssociationNursingworldorg Retrieved August"
"Public Health & Health Services","The unique function of the nurse is to assist the individual sick or well in the performance of those activities contributing to health or its recovery or to peaceful death that he would perform unaided if he had the necessary strength will or knowledge"
"Public Health & Health Services","Public Health is a movement within public health that aims to make the field more accessible to the general public and more user driven The term is used in three senses In the first sense,Public Health is similar toHealth and describes the ways in which traditional public health practitioners and institutions are reaching out or could reach out to the public through social media and health blogs"
"Public Health & Health Services","Health related policy and its implementation is complex Conceptual models can help show the flow from health related policy development to health related policy and program implementation and to health systems and health outcomes Policy should be understood as more than a national law or health policy that supports a program or intervention Operational policies are the rules regulations guidelines and administrative norms that governments use to translate national laws and policies into programs and services The policy process encompasses decisions made at a national or decentralized level including funding decisions that affect whether and how services are delivered Thus attention must be paid to policies at multiple levels of the health system and over time to ensure sustainable scale up A supportive policy environment will facilitate the scale up of health interventions"
"Public Health & Health Services","Find sources Public health– news · newspapers · books · scholar · JSTOR November Learn how and when to remove this template message"
"Public Health & Health Services","Since the s the growing field of population health has broadened the focus of public health from individual behaviors and risk factors to population level issues such as inequality poverty and education Modern public health is often concerned with addressing determinants of health across a population There is a recognition that our health is affected by many factors including where we live genetics our income our educational status and our social relationships these are known associal determinants of healthThe upstream drivers such as environment education employment income food security housing social inclusion and many others effect the distribution of health between and within populations and are often shaped by policy A social gradient in health runs through society The poorest generally suffer the worst health but even the middle classes will generally have worse health outcomes than those of a higher social stratum The new public health advocates for population based policies that improve health in an equitable manner"
"Public Health & Health Services","Case series may refer to the qualitative study of the experience of a single patient or small group of patients with a similar diagnosis or to a statistical factor with the potential to produce illness with periods when they are unexposed"
"Public Health & Health Services","The Lancet Half a century of Amnesty InternationalThe Lancet  doi S X PMID"
"Public Health & Health Services","The International Council of Nursing ICN the largest international health professional organization in the world recognizes the shortage of nurses as a growing crisis in the world This shortage impacts the healthcare of everyone worldwide One of the many reasons is that nurses who pursue to become nurses do so very late in their lives This leads to a non lengthy employment time A national survey prepared by the Federation of Nurses and Health Professionals in found that one in five nurses plans to leave the profession within five years because of unsatisfactory working conditions including low pay severe under staffing high stress physical demands mandatory overtime and irregular hours Approximately percent of all nursing jobs are found in hospitals However because of administrative cost cutting increased nurse's workload and rapid growth of outpatient services hospital nursing jobs will experience slower than average growth Employment in home care and nursing homes is expectedby whom  to grow rapidly Though more people are living well into their s and s many need the kind of long term care available at a nursing home Many nurses will also be needed to help staff the growing number of out patient facilities such as HMOs Health Maintenance Organizations group medical practices and ambulatory surgery centers Nursing specialties will be in great demand There are in addition many part time employment possibilities"
"Public Health & Health Services","Precision in epidemiological variables is a measure of random error Precision is also inversely related to random error so that to reduce random error is to increase precision Confidence intervals are computed to demonstrate the precision of relative risk estimates The narrower the confidence interval the more precise the relative risk estimate"
