Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field

"Immunogenic composition for immune system modulation and use thereof, method for treating and preventing diseases, method for inducing cell regeneration and method for restoring immune response","9,566,330",A61K 39/165 (20130101); A61K 39/092 (20130101); A61K 39/245 (20130101); A61K 39/09 (20130101); A61K 39/04 (20130101); A61K 39/104 (20130101); A61K 39/095 (20130101); A61K 39/0002 (20130101); A61K 39/145 (20130101); A61K 39/085 (20130101); A61K 39/0275 (20130101); A61K 2039/55533 (20130101); A61K 2039/585 (20130101); Y02A 50/482 (20180101); A61K 2039/70 (20130101),"A61K 39/00 (20060101); A61K 39/04 (20060101); A61K 39/085 (20060101); A61K 39/112 (20060101); A61K 39/245 (20060101); A61K 39/09 (20060101); A61K 39/165 (20060101); A61K 39/095 (20060101); A61K 39/104 (20060101); A61K 39/145 (20060101)Nowill; Alexandre Eduardo (Sao Paulo, BR)",Nowill; Alexandre Eduardo,"The present invention relates to immunogenic compositions for modulating the immune system, comprising a therapeutically effective quantity of two or more immuno-active antigenic agents with pathogen-associated molecular patterns (PAMPs) and/or danger-associated molecular patterns (DAMPs) and one or more physiologically acceptable carriers, excipients, diluents or solvents. The immunogenic compositions according to the present invention are used for producing medicaments for preventing and/or treating, and for preventing and/or treating infectious diseases, auto-immune diseases, allergic diseases, inflammation, arthritis, inflammatory diseases, transplant rejection, affections caused by vascular disorders, diseases caused by haemorrhagic or ischaemic cardiovascular accidents, ischaemia, heart attack and haemorrhagia leading to tissue destruction, heart, kidney, respiratory or liver insufficiency, cancer, malign and benign tumours and neoplasia. The present invention further relates to methods for inducing the regeneration of cells, tissues, organs and organic systems such as the circulatory, nervous and endocrine systems. Finally, the present invention relates to methods for restoring immune response in an animal, in particular a human being.",46829971,BR,"Collado-Romero et al. (Vet. Res., 41:23, 2010). cited by examiner . Sporn et al, ""Chemoprevention of Cancer,"" Carcinogenesis, vol. 21 (2000), 525-530. cited by examiner . Auerbach et al (Cancer and Metastasis Reviews, 2000, 19: 167-172). cited by examiner . Gura T (Science, 1997, 278(5340): 1041-1042. cited by examiner . Jain RK (Scientific American, Jul. 1994,58-65). cited by examiner . Martini et al. (Am. J. Clin. Nutr., 54:1041-1046, 1991). cited by examiner . McCarthy (Iowa Orthopaedic J., 26:154-158, 2006). cited by examiner . Hobohm et al. (Crit Rev Immunol, 28:95-107, 2008). cited by examiner."

Oral dosage form,"D778,428",,"Waldman; Joel (Chalfont, PA), Franzoi; Fernanda (Sao Paulo, BR)",Waldman; Joel Franzoi; Fernanda,"Current U.S. Class: D24/101 Current International Class: 2401 Field of Search: ;D24/100-104 ;D1/100,127,130 ;D23/207,208 ;604/287,288,403 ;206/1.5,528,530-539 ;424/10.2,10.3,408,438,439,451,472,473,475,453-456,464-469",Johnson & Johnson Consumer Inc.,US BR,No other references field

Method and apparatus to coordinate simultaneous transmission in overlapping wireless networks,"9,565,567",H04W 74/0808 (20130101); H04W 16/14 (20130101); H04W 74/0816 (20130101); H04W 84/12 (20130101),"H04W 16/14 (20090101); H04W 74/08 (20090101); H04W 84/12 (20090101)Chaves; Fabiano de Sousa (Manaus, BR), Choudhury; Sayantan (Berkeley, CA), Abinader, Jr.; Fuad Mousse (Manaus, BR), Cavalcante; Andre Mendes (Manaus, BR), de Almeida; Erika Portela Lopes (Brasilia, BR), Tuomaala; Esa (El Cerrito, CA), Doppler; Klaus F. (Albany, CA), Kasslin; Mika (Espoo, FI)",Nokia Corporation,"In one aspect the embodiments of the invention provide a method that includes transmitting a first frame comprising a first type of message from a first node for reception by a second node. The first node is associated with a first wireless communication system and the second node is associated with a second wireless communication system. The first type of message includes a first information element for identifying the second node and a second information element for specifying that the first frame is transmitted to initiate a request for simultaneous transmission by the first node and by the second node. The first frame is also received by a third node that is part of the first wireless communication system. The method further includes receiving from the third node a second frame that includes a second type of message. The second type of message identifies the second node and specifies, based on a measurement performed by the third node on the first frame and a measurement performed by the third node on a third frame transmitted by the second node, whether the request for simultaneous transmission is accepted or is not accepted by the third node. The method further includes transmitting a fourth frame that includes the second type of message from the first node for reception by the second node. The second type of message identifies the second node and specifies that the request for simultaneous transmission was accepted by the third node.",Nokia Technologies Oy,FI,"Lee, Daewon, et al., ""Coordinated Multipoint Transmission and Reception in LTE-Advanced Deployment Scenarios and Operational Challenges"", IEEE Communications Magazine, Feb. 2012, pp. 148-155. cited by applicant . Li, Yunzhou,et al., ""Feasibility of Coordinated Transmission for HEW"", IEEE 802.11-13/1157r3, Sep. 18, 2013, 18 pgs. cited by applicant . Chen, Li, et al., ""Inter-Cell Coordinated Resource Allocation for Mobile WiMAX System"", WCNC 2009 IEEE 2009, 6 pgs. cited by applicant . IEEE Std 802.11ac, ""Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications--Amendment 4: Enchancements for Very High Throughput for Operation in Bands below 6 GHz"", 2013, 425 pgs. cited by applicant . IEEE Std 802.11k, ""Part 11: Wireless Medium Access Control (MAC) and Physical Layer (PHY) Specifications: Specification for Radio Resource Measurement"", Jul. 2004, 110 pgs. cited by applicant . IEEE Std 802.11n, ""Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications--Amendment 5: Enhancement for Higher Throughput"", 2009, 536 pgs. cited by applicant . IEEE Std 802.11vf, ""Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications--Amendment 8: Wireless Network Management"", 2008, 350 pgs. cited by applicant."

Scalable approach to manage storage volumes across heterogenous cloud systems,"9,565,253",G06F 16/1827 (20190101); H04L 47/821 (20130101); H04L 67/1097 (20130101),"H04L 29/08 (20060101); G06F 17/30 (20060101); H04L 12/911 (20130101)de Sene; Rafael Peria (Sao Paulo, BR), dos Santos; Tiago Nunes (Sao Paulo, BR), Folco; Rafael Camarda Silva (Sao Paulo, BR), Leitao; Breno Henrique (Sao Paulo, BR)",International Business Machines Corporation,There are provided a system and a computer program product for managing heterogeneous cloud data storage systems. A computing system defines rules that govern a plurality of heterogeneous cloud data storage systems. The computing system receives complete data from a user's computer. The computing system splits the complete data. The computing system stores the split data according to the defined rules into the plurality of heterogeneous cloud data storage systems.,International Business Machines Corporation,US,"Oracle Cloud File System, Oracle Database, http://www.oracle.com/us/products/database/clous-file-system/overview/ind- ex.html; copyright .COPYRGT. 2012 Oracle, last printed Jul. 21, 2014. cited by applicant . Enstratius (Dell), Dell Cloud Manager: The Enterprise Cloud Management Solution; http://www.enstratius.com, .COPYRGT. 2013 Dell, last printed Jul. 21, 2014. cited by applicant . Media Sharing, Amazon AWS, http://media.amazonwebservices.com/architecturecenter/AWS.sub.--ac.sub.--- ra.sub.--mediasharing.sub.--09.pdf, last printed Jul. 21, 2014. cited by applicant . Amazon Glacier, Amazon AWS, http:/'/aws.amazon.com/glacier/; AWS|Amazon Glacier--Online Backup Services & Cloud Backup Soluctions, pp. 1-8; last printed Jul. 21, 2014. cited by applicant."

Progressive vortex pump,"9,562,532",F04D 5/006 (20130101); F04D 29/4293 (20130101); F04D 13/10 (20130101); F04D 29/4273 (20130101),"F04D 5/00 (20060101); F04D 13/10 (20060101); F04D 29/42 (20060101)Geremia; Silvino (Sao Leopoldo, BR)",HIGRA INDUSTRIAL LTDA,"A progressive vortex pump having a pump assembly including an inlet valve in contact with a fluid and an outlet valve in contact with a pump pipe, the pump assembly is driven by a shaft connected to a motor assembly and includes a pump body with a variety of pump stages having a stator attached to the pump body, a diffuser attached to the front and rear of the stator, and a rotor coupled to the shaft inside the stator. Each pump stage includes at least two inlet stages in contact with a respective circular channel in contact with a respective outlet stage, the inlet and outlet stages are evenly distributed along the internal perimeter of the stator, and the pump stages are arranged such that each outlet stage of a front pump stage is connected to a respective inlet stage of a rear pump stage.",HIGRA INDUSTRIAL LTDA,BR,No other references field

Processes of producing a fermentation product,"9,562,239",C12P 19/14 (20130101); C12Y 305/01038 (20130101); C12P 7/06 (20130101); C12Y 104/03003 (20130101); C12P 19/02 (20130101); C12Y 305/03001 (20130101); C12Y 302/01001 (20130101); C12Y 305/01001 (20130101); C12Y 104/03002 (20130101); Y02P 20/52 (20151101); Y02E 50/17 (20130101),"C12P 7/06 (20060101); C12P 19/02 (20060101); C12P 19/14 (20060101)Prata; Rogerio (Franklinton, NC), Robey; Alison (Sioux Falls, SD), Forman; Todd (Franklinton, NC), Clark; Suzanne (Franklinton, NC), Bordin; Eder Manzini (Curitiba, BR)","NOVOZYMES NORTH AMERICA, INC.","The invention relates to a process of process of producing a fermentation product, comprising: liquefying a starch-containing material to dextrins with an alpha-amylase in the presence of an asparaginase and/or an amino acid oxidase; saccharifying the dextrins to a sugar with a glucoamylase; and fermenting the sugar using a fermenting organism.","NOVOZYMES NORTH AMERICA, INC.",US,No other references field

Method and device for vertically guiding an aircraft during an approach of a runway along a lateral approach trajectory,"9,561,868",G01C 23/005 (20130101); B64D 45/04 (20130101); G05D 1/042 (20130101); B64C 13/18 (20130101); G05D 1/0676 (20130101),"B64D 45/04 (20060101); G05D 1/06 (20060101); B64C 13/18 (20060101); G01C 23/00 (20060101); G05D 1/04 (20060101)Bourret; Thierry (Toulouse, FR), Ahualle Horimoto; Kenji (Sao Paulo, BR)",Airbus Operations (S.A.S.),"A method and device including a unit to extract a linear terrain profile stored in memory, a terrain height for a current distance of the aircraft, a unit for determining a current height of the aircraft with respect to the terrain, using at least one measurement taken by a radar altimeter, a unit for computing a first current altitude of the aircraft, using the terrain height and the current height, a unit for computing a second current altitude of the aircraft, corresponding to an altitude on an approach profile of the current position of the aircraft and a unit for computing the difference between the first and second current altitudes, the difference being transmitted to a guidance unit to vertically guide the aircraft.",AIRBUS OPERATIONS (S.A.S.),FR,No other references field

"Roller for high pressure roller grinder, roller grinder, and method for assembling a roller for a roller grinder","9,561,508",B02C 4/30 (20130101); Y10T 29/49547 (20150115),"B02C 4/30 (20060101)Niklewski; Andrzej (Alto de Pinheiros, BR), Barscevicius; Paulo (Sorocaba, BR)",Niklewski; Andrzej Barscevicius; Paulo,"A roller for a roller grinder, the roller including a shaft and a grinding shell in the form of a tubular sleeve and having an inner face to be retained around the shaft. The roller grinder is characterized in that the shaft includes two shaft parts, each shaft part having a respective inner end portion, wherein the inner end portions are arranged to be positioned facing each other and include coupling portions arranged to couple the inner end portions of the respective shaft parts to each other, thereby forming the shaft. The disclosure further relates to a method for assembling a roller for a roller grinder, the roller including a shaft and a grinding shell in the form of a tubular sleeve and having an inner face to be retained around the shaft.",Metso Brasil Industria E Comercio LTDA,BR BR,No other references field

Shoe sole,"D777,413",,"Hermes; Vilson (Santa Catarina, BR)",DASS NORDESTE CAL ADOS E ARTIGOS ESPORTIVOS S.A.,"Current U.S. Class: D2/960; D2/947; D2/951; D2/953 Current International Class: 0204 Field of Search: ;D2/902,906,908,916,918,925,946-962,977 ;36/3B,22R,24.5,25R,28,32R,34R,59C,67A,103",DASS NORDESTE CAL ADOS E ARTIGOS ESPORTIVOS S.A.,BR,No other references field

Methods and systems for network configuration,"9,559,858",H04L 67/34 (20130101); H04L 67/04 (20130101); H04L 41/0806 (20130101); H04L 41/0886 (20130101); H04W 84/12 (20130101); H04L 41/0889 (20130101); H04L 12/2807 (20130101); H04L 63/083 (20130101); H04W 88/02 (20130101); H04W 76/11 (20180201); G06K 19/06028 (20130101),"G06K 7/10 (20060101); H04L 29/08 (20060101); H04L 12/24 (20060101); H04W 84/12 (20090101); H04L 12/28 (20060101); G06F 17/00 (20060101); H04W 76/02 (20090101); H04W 88/02 (20090101); H04L 29/06 (20060101); G06K 19/06 (20060101)Zsigmond; Fabio (Riverside, CA), Douer; Sion Elie (New York, NY), Yoshizawa; Geraldo (Sao Paulo, BR), Wagner; Frederico (New York, NY)",IKAN HOLDINGS LLC,"Network and device configuration systems and methods are described. In an embodiment, a first user interface configured to receive from a user configuration information regarding a first network provided. Program code stored in computer accessible memory is configured to generate a barcode that includes information related to the first network configuration information, wherein the barcode can be scanned by a device having a barcode scanner and a network interface to configure the network interface to access the first network.",Ikan Holdings LLC,US,"Supplementary European Search Report; Application No. 04713957.1; dated Sep. 3, 2008. cited by applicant."

Quick connection battery terminal,"9,559,444",H01R 4/5008 (20130101); H01R 4/52 (20130101); H01M 2/305 (20130101); H01R 11/282 (20130101); H01R 11/285 (20130101); H01R 11/287 (20130101); H01R 13/62933 (20130101); H01M 2220/20 (20130101),"H01R 4/50 (20060101); H01R 11/28 (20060101); H01M 2/30 (20060101); H01R 13/629 (20060101)Gisoldi; Mauricio (Braganca Paulista, BR)",TYCO ELECTRONICS BRASIL LTDA.,A battery terminal for terminating to a terminal post of a battery. A lever is rotatably mounted to a lever engaging portion and includes an engagement member with a pair of mounting members extending therefrom. The mounting members are spaced apart by a first distance which is greater than a second distance which is the distance that the lever receiving members are spaced from each other. The mounting members are positioned to the outside of the lever receiving members. Camming members extend from the mounting members. The camming members have engaging portions which extend inward from the mounting members. The camming members and the engaging portions have an elastic spring behavior which allows the camming members and the engaging portions to be elastically deformed when the lever is rotated between an open position and a closed position.,TYCO ELECTRONICS BRASIL LTDA.,BR,No other references field

Systems and methods for transferring value to payment accounts,"9,558,483",G06Q 20/28 (20130101); G06Q 20/322 (20130101); G06Q 20/3672 (20130101),"G06Q 20/10 (20120101); G06Q 20/28 (20120101); G06Q 20/32 (20120101); G06Q 20/36 (20120101)Gupta; Akshat (Vernon, CT), Bodman; Ryan (Louisville, KY), Pareja; Ricardo (Sao Paulo, BR), Parento; Stephen (White Plains, NY)",MASTERCARD INTERNATIONAL INCORPORATED,"Systems and methods are provided for transferring value from to a payment account associated with a virtual wallet of a consumer. The value can be transferred using voucher-based transactions or cash-based transactions. One exemplary method includes receiving, at a computing device, a load request to transfer value to a payment account associated with a consumer. The load request includes the value to be transferred and a directory number for a mobile device associated with the consumer. The method also includes determining an account number for the consumer's payment account, at the computing device, based on the directory number for the consumer's mobile device and generating, by the computing device, a request indicating the value to transfer to the payment account and the account number for the consumer's payment account.",MASTERCARD INTERNATIONAL INCORPORATED,US,"www.paysafecard.com/en-us/products/paysafecard; Jan. 14, 2015; 2 pgs. cited by applicant . www.ukash.com/en-zz/about-ukash; accessed Jan. 14, 2015; 1 pg. cited by applicant."

System and method for optimal fueling of an engine,"9,556,809",F02D 19/0692 (20130101); F02D 19/081 (20130101); F02D 19/10 (20130101); F02M 26/08 (20160201); F02M 26/43 (20160201); F02D 41/0062 (20130101); F02D 35/026 (20130101); F02D 41/008 (20130101); F02D 41/1446 (20130101); F02D 41/1448 (20130101); F02D 41/0025 (20130101); F02D 41/0027 (20130101); F02D 19/061 (20130101); F02B 29/0412 (20130101); Y02T 10/47 (20130101); F02D 29/06 (20130101); F02M 26/23 (20160201); F02D 2200/0406 (20130101); F02D 2200/0414 (20130101); F02B 2043/103 (20130101); Y02T 10/36 (20130101),"F02D 41/00 (20060101); F02D 19/10 (20060101); F02D 19/06 (20060101); F02D 19/08 (20060101); F02D 41/14 (20060101); F02D 35/02 (20060101); F02D 29/06 (20060101); F02B 29/04 (20060101); F02B 43/10 (20060101)Klingbeil; Adam Edgar (Ballston Lake, NY), Lavertu; Thomas Michael (Clifton Park, NY), Pereira; Ricardo Hernandez (Sao Carlos, BR), Moritz; Henrique (Rio de Janeiro, BR)",General Electric Company,"A method for optimal fueling of an engine is disclosed. The method includes determining a quantity of exhaust residuals in each cylinder among a plurality of cylinders in the engine. Further, the method includes determining at least one of an intake and exhaust manifolds temperature, at least one of an intake and exhaust manifolds pressure, and a quantity of a first fuel being injected to each cylinder, and calculating a characteristic temperature of each cylinder based on the quantity of exhaust residuals, at least one of the intake and exhaust manifolds temperature and pressure, and the quantity of the first fuel. The method further includes determining a substitution rate of the first fuel for each cylinder based on the characteristic temperature, and controlling at least one of the quantity of the first fuel, and a quantity of a second fuel being injected to each cylinder based on the substitution rate.",General Electric Company,US,"Liu et al., ""Modeling and experimental validation of air-fuel ratio under individual cylinder fuel injection for port-injection engines"", Automation Science and Engineering (CASE), IEEEXplore, Aug. 20-24, 2012, pp. 256-260, Conference Location :Seoul. cited by applicant . Unofficial English Translation of Search Report issued in connection with corresponding EA Application No. 201592050 on May 19, 2016. cited by applicant."

Swellable elastomer and its use in acidizing or matrix stimulation,"9,556,703",E21B 33/138 (20130101); E21B 43/26 (20130101); E21B 43/16 (20130101); C09K 8/035 (20130101); C09K 8/516 (20130101); C09K 8/70 (20130101); C09K 8/92 (20130101); C09K 8/76 (20130101),"E21B 33/138 (20060101); E21B 43/26 (20060101); E21B 43/16 (20060101); C09K 8/035 (20060101); C09K 8/516 (20060101); C09K 8/70 (20060101); C09K 8/92 (20060101); C09K 8/76 (20060101)Daou; Fatma (Leblon, BR), Lungwitz; Bernhard (Rio de Janeiro, BR), Minikh; Olga Alexandrovna (Novosibirsk, RU), Fu; Diankui (Novosibirsk, RU), Kubala; Gregory (Houston, TX)",SCHLUMBERGER TECHNOLOGY CORPORATION,"The current application discloses compositions and methods for treating a subterranean formation. CO2 swellable elastomers can be used in a treatment fluid to at least partially block a high permeability region, therefore improving the performance of an operation such as matrix stimulation, acidizing, and acid fracturing.",SCHLUMBERGER TECHNOLOGY CORPORATION,US,"Daniel L. Hertz, Jr., Elastomers in the Hot Sour Gas Environment, Seals Eastern Inc., P.O. Box 519, Red Bank, N.J. 07701, 6 pages. cited by applicant . T. Pervez, S.Z. Qamar, R.A. Siddiqui, M. Van De Velden, Effect of Exposure on Material Response of a Swelling Elastomer, Archives of Materials Science and Engineering, Jun. 2009, pp. 77-84, vol. 37, Issue 2. cited by applicant . O.M. Davies, J.C. Arnold, S. Sulley, The mechanical properties of elastomers in high-pressure CO2, Journal of Materials Science 34 (1999) pp. 417-422. cited by applicant."

Peptide stimulator of cell survival and proliferation,"9,556,225",C07K 7/06 (20130101),"C07K 7/06 (20060101)Giudicissi-Filho; Miguel (Sao Paulo, BR)",Uniao Quimica Farmac utica Nacional S/A,"The invention provides a novel peptide, and derivatives thereof, which is stable in aqueous solution and which stimulates proliferation and survival of endothelial cells and/or fibroblasts. The present peptide can be used at least to promote the S phase of the cell cycle, to stimulate production of extracellular matrix proteins, to reduce apoptosis, to inhibit production of reactive oxygen species and/or to reduce or prevent damage to cell integrity or morphology under stress conditions of serum deprivation.",UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,BR,"Betts et al., Bioinformatics for Geneticists, 2003, chapter 14, pp. 290-318. cited by examiner . Flores et al., EMBL/GenBank/DDBJ databases, 2006, result 1. cited by examiner . Calabria, Merck Manual, http://www.merckmanual.com/professional/pediatrics/endocrine-disorders, accessed May 31, 2016. cited by examiner."

Seed dispenser and conveyance system for agricultural machinery,"9,554,503",A01C 7/081 (20130101); A01C 7/16 (20130101); A01C 7/20 (20130101); A01C 7/206 (20130101); A01C 7/046 (20130101),A01C 7/16 (20060101); A01C 7/08 (20060101); A01C 7/20 (20060101); A01C 7/04 (20060101)**Please see images for: ( Certificate of Correction ) **,,"A seed dispenser and conveyor system applied in agricultural tools with a circular structural base (20) equipped with lid (22), and an angled vertical base (21) equipped with lid (23), on the upper part of the base (20) presenting a seed box (30), a vacuum turbine (40) and a cutting disk (50), with the system actuated by a bar (223) and gear (222) rotating the selector disk (VI) in a clockwise movement, transmitting the movement to the hollowed gears (B1, C1, D1, and E1) equipped with spacing that conveys the seed (60) to the releasing ramp (211), producing synchronized movements in opposed directions, uniformly conveying the seeds and not being subject to trepidation in the seeding line or any type of lateral, frontal and rear inclination, besides keeping the correct distance up to the seeding groove, and reducing the seed variation coefficient in the seeding line.",,,No other references field

"Method and system implemented by a collaborative distributed computational network, and related devices","9,553,949",G06Q 10/10 (20130101); G06F 3/0412 (20130101); G06F 3/0488 (20130101); H04L 67/306 (20130101); H04L 67/42 (20130101),"G06F 15/16 (20060101); H04L 29/08 (20060101); G06F 3/041 (20060101); G06Q 10/10 (20120101); H04L 29/06 (20060101); G06F 3/0488 (20130101)Guimaraes; Marcelo Ferreira (Florianopolis, BR), Turcato; Renato Parenti (Florianopolis, BR), Lima; Demetrius Ribeiro (Florianopolis, BR), Barros; Alexandre Moura Paes De (Florianopolis, BR), Villela; Caio Vinicius Maia (Florianopolis, BR), Pedro Filho; Adir (Florianopolis, BR), Cordioli; Emanuel Mota (Florianopolis, FR), Tavares; George (Florianopolis, BR), Faust; Richard (Florianopolis, BR), Couto; Diego Fernando Dotta (Florianopolis, BR)",SABIA EXPERIENCE TECNOLOGIA S.A.,"Method and system implemented by a collaborative distributed computational network, and related devices, comprising a plurality of client devices supported by a computational network to cooperatively perform interactive operations in at least one community of practice organized in a hierarchical structure at strategic levels, wherein said method comprises the steps of registering at least one community of practice on the computational network, creating a network of practice; assigning a unique identification code for a device on the network of practice computational network, identifying a user through an unique identification user code; connecting the user to at least one community of network of practice; defining a practice; unfolding the practice in strategic levels of this community of practice; registering the practice on the computational network; locating the practice in organizational or geographical coordinates; registering the localization of practice on the computational network; selecting a template guide containing sequential instructions content (as a script) and components; configuring the guide that implements the practice at the strategic level of the community of practice; publishing the guide in a client device through computer applications; setting up the interfaces of guides of client device for groups of people in group interactions of the same strategic level or between community of practice strategic levels; setting up specific interfaces of guides for individual actions on the client devices for individual interaction; manipulating guides on the client device group for the group interaction or when there is interaction between community of practice strategic levels; manipulating the individual guides on personal client devices when there are individual actions; storing the guide manipulation data in a distributed and asynchronous way on the client devices; maintaining versioning of data from historical records; synchronize data between client devices themselves and with the servers when the there is connectivity between them; and process the distributed guide data organizing and sorting out the history of best practices.",SABIA EXPERIENCE TECNOLOGIA S.A.,BR,No other references field

Digital TV antenna,"9,553,354",H01Q 1/24 (20130101); H01Q 1/1221 (20130101); H01Q 9/32 (20130101),"H01Q 1/24 (20060101); H01Q 9/32 (20060101); H01Q 1/12 (20060101)Bedicks Junior; Gunnar (Sao Paulo, BR), Akamine; Cristiano (Sao Paulo, BR), Stolfi; Guido (Sao Paulo, BR), Pereira; Ariston Leite (Sao Paulo, BR)",Instituto Presbiteriano Mackenzie,"The present antenna comprises a metallic base, defining an inner housing; an irradiating element, in the form of a metallic rod, having one end to be secured, in an electrically insulated manner, to the base; and a coaxial cable to connect the antenna to the TV set and having a mesh and a central wire, respectively and electrically connected to the base and to the irradiating element, in the interior of the housing. The antenna further comprises an electronic circuit located in the interior of the housing and having an input connected to the end of the rod, and an output connected to the central wire of the coaxial cable, said electronic circuit blocking the passage of signals in undesired frequencies, from the irradiating element to the coaxial cable.",Instituto Presbiteriano Mackenzie,BR,No other references field

Resource reconciliation based on external factors,"9,552,360",G06F 16/13 (20190101); G06F 16/25 (20190101); G06Q 10/087 (20130101); G06F 16/252 (20190101); G06F 16/2365 (20190101); G06F 16/27 (20190101),"G06F 17/30 (20060101)Demo; Leonardo F. (Sao Paulo, BR), Franco; Mariana R. (Sao Paulo, BR), Nastacio; Denilson (Durham, NC), Negrello; Fabio (Sao Paulo, BR), Pereira; Cassandro J. D. P. (Sao Paulo, BR), Salvatore; Maristela (Sao Paulo, BR), Sousa Leal; Paulo H. O. (Sao Paulo, BR)",International Business Machines Corporation,"A method that includes a first record that relates to a first subject entity is received and a second record that relates to a second subject entity is received, where it is unknown whether the first subject entity is the same as the second subject entity. A comparison of a first external/non-key attribute value for the first subject entity to a second external/non-key attribute value for the second subject entity is performed. A probability value is calculated, at least in part, on a first external/non-key attribute value for the first subject entity to a second external/non-key attribute value for the second subject entity.",International Business Machines Corporation,US,"Dong, et al.; ""Reference Reconciliation in Complex Information Spaces""; SIGMOD 2005; Jun. 14-16, 2005; Baltimore MD; pp. 85-96; Copyright 2005. cited by applicant . Demo et al., ""Resource Reconciliation Based on External Factors"", U.S. Appl. No. 14/474,568, filed Sep. 2, 2014. cited by applicant."

Dynamic bi-phrases for statistical machine translation,"9,552,355",G06F 40/44 (20200101); G06F 40/45 (20200101),"G06F 17/28 (20060101)Dymetman; Marc (Grenoble, FR), Aziz; Wilker Ferreira (Sao Paulo, BR), Cancedda; Nicola (Grenoble, FR), Coursimault; Jean-Marc (Revel, FR), Nikoulina; Vassilina (Grenoble, FR), Specia; Lucia (Wolverhampton, GB)",Dymetman; Marc Aziz; Wilker Ferreira Cancedda; Nicola Coursimault; Jean-Marc Nikoulina; Vassilina Specia; Lucia,"A system and a method for phrase-based translation are disclosed. The method includes receiving source language text to be translated into target language text. One or more dynamic bi-phrases are generated, based on the source text and the application of one or more rules, which may be based on user descriptions. A dynamic feature value is associated with each of the dynamic bi-phrases. For a sentence of the source text, static bi-phrases are retrieved from a bi-phrase table, each of the static bi-phrases being associated with one or more values of static features. Any of the dynamic bi-phrases which each cover at least one word of the source text are also retrieved, which together form a set of active bi-phrases. Translation hypotheses are generated using active bi-phrases from the set and scored with a translation scoring model which takes into account the static and dynamic feature values of the bi-phrases used in the respective hypothesis. A translation, based on the hypothesis scores, is then output.",XEROX CORPORATION,FR BR FR FR FR GB,"Huang et al. ""Hierarchical system combination for machine translation"". In Proceedings of the 2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL), Jun. 2007, pp. 277-286. cited by examiner . Habash. ""Four techniques for online handling of out-of-vocabulary words in Arabic-English statistical machine translation"". In Proceedings of the 46th Annual Meeting of the Association for Computational Linguistics on Human Language Technologies: Short Papers (HLT-Short '08). Association for Computational Linguistics,2008, Stroudsburg, PA, 57-60. cited by examiner . Cattoni et al. ""A web-based demonstrator of a multi-lingual phrase-based translation system"". In Proceedings of the Eleventh Conference of the European Chapter of the Association for Computational Linguistics: Demonstrations (EACL '06). Association for Computational Linguistics, 2006, Stroudsburg, PA, pp. 91-94. cited by examiner . U.S. Appl. No. 12/690,504, Stymne, et al. cited by applicant . U.S. Appl. No. 12/427,149, Dymetman, et al. cited by applicant . Bicici, et al. ""Dynamic Translation Memory: Using Statistical Machine Translation to Improve Translation Memory Fuzzy Matches,"" Cicling, pp. 454-465 (2008). cited by applicant . Simard, et al. ""Translating with Non-contiguous Phrases,"" HLT/EMNLP (2005). cited by applicant . Carpuat, et al. ""Context-Dependent Phrasal Translation Lexicons for Statistical Machine Translation,"" Machine Translation Summit XI. Copenhagen (2007). cited by applicant . Mirkin, et al. ""Source-Language Entailment Modeling for Translating Unknown Terms,"" ACL-IJNLP (2009). cited by applicant . Clinchant, et al. ""Lexical entailment for information retrieval,"" European Conference on Information Retrieval, London, UK, 10-12 (Apr. 2006). cited by applicant . Koehn, et al. ""Factored Translation Models,"" EMNLP-CoNNL, (2007). cited by applicant . Lopez, A. ""Statistical Machine Translation,"" ACM Comput. Surv., 40 (3), pp. 1-49, (2008). cited by applicant . Yahyaei, et al. ""Decoding by dynamic chunking for statistical machine translation,"" MT Summit XII: Proceedings of the 12.sup.th Machine Translation Summit (2009). cited by applicant . Chiang, et al The Hiero Machine Translation System: Extensions, Evaluations, and Analysis, Proceedings of Human Language Technology Conference and Conference on Empirical Methods in Natural Language Processing (HLT/EMNLP), pp. 779-786, Oct. 2005. cited by applicant."

